arquivo,dimensoes,total_correspondencias,is_compliant,is_defect,defeitos,partes_detectadas,taxa_deteccao,matches_chapéu,matches_face,matches_cabeca,matches_braco,matches_corpo,matches_maos,matches_pernas
smgjavydp.jpg,352x288,61,False,True,"NO_HAT, NO_FACE, NO_HEAD, NO_BODY",3,42.857142857142854,6,0,0,14,6,8,27
spdgjavmy.jpg,352x288,19,False,True,"NO_HAT, NO_FACE, NO_HEAD, NO_BODY, NO_LEG",2,28.57142857142857,6,0,0,8,0,5,0
sygmdvpaj.jpg,352x288,6,False,True,"NO_HAT, NO_FACE, NO_HEAD, NO_ARM, NO_BODY, NO_HAND, NO_LEG",0,0.0,6,0,0,0,0,0,0
sypavdgmj.jpg,352x288,119,False,True,"NO_FACE, NO_HEAD",5,71.42857142857143,12,0,0,36,24,11,36
vajmygdps.jpg,352x288,98,False,True,"NO_FACE, NO_HEAD",5,71.42857142857143,38,0,0,19,19,12,10
vamdgpysj.jpg,352x288,62,False,True,"NO_FACE, NO_HEAD, NO_BODY, NO_LEG",3,42.857142857142854,13,0,0,29,5,6,9
vaspmgjyd.jpg,352x288,111,False,True,"NO_ARM, NO_HAND",5,71.42857142857143,19,3,3,1,40,1,44
vjdamyspg.jpg,352x288,77,False,True,"NO_FACE, NO_HEAD, NO_LEG",4,57.14285714285714,11,0,0,25,20,13,8
vjgsypamd.jpg,352x288,75,False,True,"NO_FACE, NO_HEAD, NO_LEG",4,57.14285714285714,10,0,0,39,11,9,6
vjpgadmsy.jpg,352x288,86,False,True,"NO_HAT, NO_FACE, NO_HEAD, NO_HAND",3,42.857142857142854,6,0,0,33,22,2,23
vjpmaydgs.jpg,352x288,77,False,True,"NO_HAT, NO_FACE, NO_HEAD, NO_HAND",3,42.857142857142854,9,0,0,14,29,1,24
vmyjdpsga.jpg,352x288,79,False,True,"NO_ARM, NO_HAND, NO_LEG",4,57.14285714285714,36,1,1,0,33,0,8
vpysmdjag.jpg,352x288,86,False,True,"NO_FACE, NO_HEAD, NO_ARM, NO_HAND",3,42.857142857142854,15,0,0,3,31,2,35
vsaypdjmg.jpg,352x288,75,False,True,"NO_HAT, NO_FACE, NO_HEAD",4,57.14285714285714,6,0,0,21,18,14,16
vsymjpgad.jpg,352x288,80,False,True,"NO_ARM, NO_HAND",5,71.42857142857143,32,1,1,0,24,0,22
vyjgampsd.jpg,352x288,84,False,True,"NO_BODY, NO_LEG",5,71.42857142857143,22,1,1,36,7,10,7
vypdsmajg.jpg,352x288,86,True,False,NENHUM,7,100.0,16,1,1,6,32,5,25
yadpvgmsj.jpg,352x288,69,False,True,"NO_FACE, NO_HEAD",5,71.42857142857143,10,0,0,15,11,7,26
yajmgvpsd.jpg,352x288,63,False,True,"NO_HAT, NO_FACE, NO_HEAD",4,57.14285714285714,4,0,0,24,10,12,13
yasvgpdjm.jpg,352x288,53,False,True,"NO_FACE, NO_HEAD, NO_ARM, NO_HAND",3,42.857142857142854,14,0,0,0,15,0,24
yavmpgjsd.jpg,352x288,117,True,False,NENHUM,7,100.0,20,2,6,20,19,7,43
ydjmvgspa.jpg,352x288,91,True,False,NENHUM,7,100.0,27,2,2,15,19,9,17
ydsvmjagp.jpg,352x288,37,False,True,"NO_HAT, NO_FACE, NO_HEAD, NO_ARM, NO_BODY",2,28.57142857142857,5,0,0,3,8,3,18
ygdjpvasm.jpg,352x288,20,False,True,"NO_HAT, NO_FACE, NO_HEAD, NO_BODY, NO_HAND, NO_LEG",1,14.285714285714285,3,0,0,15,1,1,0
ygjdmpvas.jpg,352x288,37,False,True,"NO_FACE, NO_HEAD, NO_BODY, NO_LEG",3,42.857142857142854,10,0,0,18,0,9,0
ygmavjsdp.jpg,352x288,53,True,False,NENHUM,7,100.0,15,1,1,11,11,4,10
ymvpdjags.jpg,352x288,57,False,True,"NO_HAT, NO_FACE, NO_HEAD, NO_LEG",3,42.857142857142854,4,0,0,19,24,7,3
ypsvjgdam.jpg,352x288,60,False,True,"NO_HAT, NO_FACE, NO_HEAD, NO_LEG",3,42.857142857142854,5,0,0,21,28,3,3
ysavdgpmj.jpg,352x288,62,False,True,"NO_HAT, NO_FACE, NO_HEAD, NO_HAND",3,42.857142857142854,8,0,0,14,28,0,12
ysgavdpjm.jpg,352x288,110,True,False,NENHUM,7,100.0,16,2,3,12,34,3,40
ysmdjavgp.jpg,352x288,48,False,True,"NO_HAT, NO_FACE, NO_HEAD, NO_BODY, NO_LEG",2,28.57142857142857,2,0,0,25,6,13,2
